id,name,latitude,longitude
5663496525,Central Reserve Police Force,28.5285509,77.2701089
5663496878,Surajkund Crossing,28.5018867,77.2895949
5663496882,Surajkund Crossing,28.5014976,77.2897179
5663496902,Air Force Station,28.5112959,77.2565515
5663497230,ESI Hospital,28.5143175,77.2813362
5663497232,Prem Nagar,28.5044284,77.2791678
5663497343,Prahladpur,28.5000722,77.294609
5663497344,Rajeev Gandhi Stadium,28.4993972,77.2987798
5695691745,"A-1, Janakpuri",28.6247046,77.0677821
5695691749,C-1 Janakpuri,28.6171925,77.0786064
5695691750,Rajasthan Rifles Centre,28.5956356,77.15114
5695692628,"A-1, Janakpuri",28.624866,77.0676817
5695692630,A-1 Janakpuri,28.6239341,77.0679343
5695692634,Hauz Rani,28.5282732,77.2121032
5695695463,Unnamed Stop,28.625421,77.0656387
5695695464,Jeevan Park,28.6195633,77.0735919
5695695465,Janak Setu,28.6104869,77.1137648
5701997798,Sukhdev Vihar,28.5743182,77.2287394
5701997801,Panchsheel Club,28.5462085,77.2092944
5714671373,Vocational College,28.5323134,77.2268866
5714671374,PSRI Hospital,28.5313367,77.224205
5714671376,Hauz Rani,28.5296954,77.2158453
5715371718,"Greater Kailash II, M-Block Market",28.5344622,77.2438618
5715382910,"Greater Kailash II, M Block Market",28.5344091,77.2437842
5715382911,Narmada Apartment,28.5278823,77.2483841
5715382912,Tara Apartment,28.5226506,77.25542
5715382918,Safdarjung Airport,28.5840133,77.212658
5715387039,Unnamed Stop,28.5402176,77.2400527
5715387116,Unnamed Stop,28.5310249,77.2456878
5715387117,Narmada Apartment,28.5279858,77.2482354
5715387118,Tara Apartment,28.5237923,77.2550454
5715389197,Unnamed Stop,28.5310524,77.2457633
5715389198,Unnamed Stop,28.5379488,77.2398457
5715389199,Unnamed Stop,28.5400311,77.2402111
5715390754,Alaknanda Apartment,28.5268636,77.2520432
5715392714,Lodhi Colony,28.5859327,77.2213705
5715393721,Lodhi Colony,28.5860316,77.220958
5716106718,Munirka,28.5588319,77.1736658
5716127699,Tara Apartment,28.5239147,77.2551271
5716610652,Safdarjung Tomb,28.5892861,77.2131643
5721278704,Kamala Market,28.6438424,77.2243409
5721283954,Unnamed Stop,28.6430706,77.2263569
5725122123,New Delhi Metro Express Line Station,28.6433841,77.2233067
5732540806,Vayusenabad,28.5127292,77.2390456
5732540807,"G Block, Dakshinpuri",28.5139713,77.2345768
5732540809,Patiala House,28.6165335,77.2337529
5732542138,Safdarjung Airport,28.5842799,77.2122744
5732542139,Dilli Gate,28.6374898,77.241347
5732543211,AIIMS,28.5670775,77.2076532
5732543212,Jammu and Kashmir House,28.6018823,77.2225291
5732543214,Express Building,28.6337909,77.2407952
5732543215,Golcha Cinema,28.6434906,77.240305
5732543216,Subhash Park,28.649126,77.2393165
5732543217,Lal Quila,28.6540486,77.2363196
5732543218,BMD Chowk,28.6585584,77.2314106
